LabVIEW Measurement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Writer_Version,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reader_Version,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Separator,Tab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Decimal_Separator,",",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Multi_Headings,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X_Columns,One,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time_Pref,Absolute,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operator,ICE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,8/12/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time,13:46.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
***End_of_Header***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes,X-Werte garantiert g黮tig nur f黵 Feuchte 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Channels,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samples,10,10,10,1,10,10,10,10,10,10,10,10,10,10,10,10,10,10,1,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,
Date,8/12/2020,8/12/2020,8/12/2020,8/12/2020,8/12/2020,8/12/2020,8/12/2020,8/12/2020,8/12/2020,8/12/2020,8/12/2020,8/12/2020,8/12/2020,8/12/2020,8/12/2020,8/12/2020,8/12/2020,8/12/2020,8/12/2020,8/12/2020,8/12/2020,8/12/2020,8/12/2020,8/12/2020,8/12/2020,8/12/2020,8/12/2020,8/12/2020,8/12/2020,8/12/2020,8/12/2020,8/12/2020,8/12/2020,8/12/2020,8/12/2020,8/12/2020,8/12/2020,8/12/2020,8/12/2020,8/12/2020,8/12/2020,8/12/2020,8/12/2020,8/12/2020,8/12/2020,8/12/2020,8/12/2020,8/12/2020,8/12/2020,8/12/2020,8/12/2020,8/12/2020,8/12/2020,8/12/2020,8/12/2020,8/12/2020,8/12/2020,8/12/2020,8/12/2020,8/12/2020,8/12/2020,8/12/2020,8/12/2020,8/12/2020,8/12/2020,8/12/2020,8/12/2020,8/12/2020,
Time,13:47.6,13:47.6,13:47.6,13:48.8,13:48.8,13:47.6,13:47.6,13:47.6,13:47.6,13:46.0,13:46.0,13:46.0,13:46.0,13:47.6,13:47.6,13:47.6,13:47.6,13:47.6,13:48.8,13:47.6,13:47.6,13:47.6,13:47.6,13:47.6,13:47.6,13:47.6,13:47.6,13:47.6,13:47.6,13:47.6,13:47.6,13:47.6,13:47.6,13:47.6,13:47.6,13:47.6,13:47.6,13:47.6,13:47.6,13:47.6,13:47.6,13:47.6,13:47.6,13:47.6,13:47.6,13:47.6,13:47.6,13:47.6,13:47.6,13:47.6,13:47.6,13:47.6,13:47.6,13:47.6,13:47.6,13:47.6,13:47.6,13:47.6,13:47.6,13:47.6,13:47.6,13:47.6,13:47.6,13:48.8,13:48.8,13:48.8,13:48.8,13:48.8,
